	SPY	Stock Price	Cash	Portfolio Value
2013-07-26	-100	159.200435	33922.272	18002.2285
2013-07-29	-100	158.710902	33922.272	18051.1818
2013-07-30	0	158.710902	18051.1818	18051.1818
2013-07-31	100	158.82388	2168.7938	18051.1818
2013-08-01	100	160.659611	2168.7938	18234.7549
2013-08-02	0	160.932611	18262.0549	18262.0549
2013-08-05	100	160.697261	2192.3288	18262.0549
2013-08-06	100	159.7841	2192.3288	18170.7388
2013-08-07	100	159.266326	2192.3288	18118.9614
2013-08-08	100	159.850005	2192.3288	18177.3293
2013-08-09	0	159.388713	18131.2001	18131.2001
2013-08-12	100	159.200435	2211.1566	18131.2001
2013-08-13	0	159.671136	18178.2702	18178.2702
2013-08-14	-100	158.852121	34063.4823	18178.2702
2013-08-15	-100	156.630413	34063.4823	18400.441
2013-08-16	-100	156.112639	34063.4823	18452.2184
2013-08-19	-100	155.114756	34063.4823	18552.0067
2013-08-20	-100	155.877289	34063.4823	18475.7534
2013-08-21	0	154.917055	18571.7768	18571.7768
2013-08-22	-100	156.329157	34204.6925	18571.7768
2013-08-23	-100	156.85634	34204.6925	18519.0585
2013-08-26	0	156.272676	18577.4249	18577.4249
2013-08-27	0	153.759135	18577.4249	18577.4249
2013-08-28	0	154.30515	18577.4249	18577.4249
2013-08-29	-100	154.549909	34032.4158	18577.4249
2013-08-30	0	154.060376	18626.3782	18626.3782
2013-09-03	100	154.757018	3150.6764	18626.3782
2013-09-04	100	156.037325	3150.6764	18754.4089
2013-09-05	0	156.235026	18774.179	18774.179
2013-09-06	0	156.310325	18774.179	18774.179
2013-09-09	100	157.807165	2993.4625	18774.179
2013-09-10	100	158.974494	2993.4625	18890.9119
2013-09-11	100	159.473436	2993.4625	18940.8061
2013-09-12	100	159.049808	2993.4625	18898.4433
2013-09-13	0	159.407545	18934.217	18934.217
2013-09-16	100	160.330114	2901.2056	18934.217
2013-09-17	100	161.045589	2901.2056	19005.7645
2013-09-18	100	162.90956	2901.2056	19192.1616
2013-09-19	0	162.636546	19164.8602	19164.8602
2013-09-20	-100	161.499479	35314.8081	19164.8602
2013-09-23	0	160.752139	19239.5942	19239.5942
2013-09-24	0	160.373749	19239.5942	19239.5942
2013-09-25	0	159.910208	19239.5942	19239.5942
2013-09-26	-100	160.525111	35292.1053	19239.5942
2013-09-27	0	159.787239	19313.3814	19313.3814
2013-09-30	100	158.935839	3419.7975	19313.3814
2013-10-01	100	160.194008	3419.7975	19439.1983
2013-10-02	0	160.042646	19424.0621	19424.0621
2013-10-03	0	158.566903	19424.0621	19424.0621
2013-10-04	0	159.768315	19424.0621	19424.0621
2013-10-07	0	158.387163	19424.0621	19424.0621
2013-10-08	-100	156.542485	35078.3106	19424.0621
2013-10-09	0	156.656013	19412.7093	19412.7093
2013-10-10	0	160.033191	19412.7093	19412.7093
2013-10-11	0	161.064318	19412.7093	19412.7093
2013-10-14	0	161.707598	19412.7093	19412.7093
2013-10-15	0	160.534565	19412.7093	19412.7093
2013-10-16	0	162.776572	19412.7093	19412.7093
2013-10-17	0	163.864455	19412.7093	19412.7093
