	AAPL	Stock Price	Cash	Portfolio Value
2013-04-18	-100	52.032805	14413.0177	9209.7372
2013-04-19	0	51.831073	9229.9104	9229.9104
2013-04-22	-100	52.911413	14521.0517	9229.9104
2013-04-23	0	53.9015	9130.9017	9130.9017
2013-04-24	100	53.812578	3749.6439	9130.9017
2013-04-25	100	54.200122	3749.6439	9169.6561
2013-04-26	100	55.370709	3749.6439	9286.7148
2013-04-29	0	57.085449	9458.1888	9458.1888
2013-04-30	-100	58.765682	15334.757	9458.1888
2013-05-01	0	58.302491	9504.5079	9504.5079
2013-05-02	0	59.129335	9504.5079	9504.5079
2013-05-03	100	59.721269	3532.381	9504.5079
2013-05-06	100	61.145348	3532.381	9646.9158
2013-05-07	0	60.873275	9619.7085	9619.7085
2013-05-08	0	61.560761	9619.7085	9619.7085
2013-05-09	0	61.023689	9619.7085	9619.7085
2013-05-10	-100	60.516018	15671.3103	9619.7085
2013-05-13	-100	60.752491	15671.3103	9596.0612
2013-05-14	-100	59.29894	15671.3103	9741.4163
2013-05-15	0	57.293629	9941.9474	9941.9474
2013-05-16	0	58.059148	9941.9474	9941.9474
2013-05-17	0	57.882798	9941.9474	9941.9474
2013-05-20	0	59.174693	9941.9474	9941.9474
2013-05-21	0	58.737825	9941.9474	9941.9474
2013-05-22	0	58.963606	9941.9474	9941.9474
2013-05-23	0	59.069149	9941.9474	9941.9474
2013-05-24	100	59.471281	3994.8193	9941.9474
2013-05-28	0	58.975632	9892.3825	9892.3825
2013-05-29	-100	59.44456	15836.8385	9892.3825
