	IBM	Stock Price	Cash	Portfolio Value
2013-04-04	0	191.295205	19918.0233	19918.0233
2013-04-05	0	189.575174	19918.0233	19918.0233
2013-04-08	-100	189.493702	38867.3935	19918.0233
2013-04-09	0	189.403168	19927.0767	19927.0767
2013-04-10	-100	191.919852	39119.0619	19927.0767
2013-04-11	-100	192.75271	39119.0619	19843.7909
2013-04-12	0	191.358581	19983.2038	19983.2038
2013-04-15	100	189.439373	1039.2665	19983.2038
2013-04-16	0	191.919852	20231.2517	20231.2517
2013-04-17	-100	189.810542	39212.3059	20231.2517
2013-04-18	-100	187.529227	39212.3059	20459.3832
2013-04-19	0	172.003641	22011.9418	22011.9418
2013-04-22	-100	170.03918	39015.8598	22011.9418
2013-04-23	0	173.461146	21669.7452	21669.7452
2013-04-24	100	173.551679	4314.5773	21669.7452
2013-04-25	100	175.579503	4314.5773	21872.5276
2013-04-26	100	175.905405	4314.5773	21905.1178
2013-04-29	100	180.286968	4314.5773	22343.2741
2013-04-30	100	183.355875	4314.5773	22650.1648
2013-05-01	100	180.721514	4314.5773	22386.7287
2013-05-02	100	183.220088	4314.5773	22636.5861
2013-05-03	100	185.139282	4314.5773	22828.5055
2013-05-06	100	183.573147	4314.5773	22671.892
2013-05-07	0	184.342643	22748.8416	22748.8416
2013-05-08	0	186.289035	22748.8416	22748.8416
2013-05-09	0	184.851983	22748.8416	22748.8416
2013-05-10	0	185.970695	22748.8416	22748.8416
2013-05-13	0	184.151644	22748.8416	22748.8416
2013-05-14	-100	184.824698	41231.3114	22748.8416
2013-05-15	0	184.924746	22738.8368	22738.8368
2013-05-16	0	186.170792	22738.8368	22738.8368
2013-05-17	0	189.581513	22738.8368	22738.8368
2013-05-20	0	188.817515	22738.8368	22738.8368
2013-05-21	0	189.772505	22738.8368	22738.8368
2013-05-22	-100	188.262703	41565.1071	22738.8368
2013-05-23	-100	187.507796	41565.1071	22814.3275
2013-05-24	-100	187.107602	41565.1071	22854.3469
2013-05-28	-100	188.981223	41565.1071	22666.9848
2013-05-29	-100	189.108556	41565.1071	22654.2515
2013-05-30	-100	190.418275	41565.1071	22523.2796
2013-05-31	-100	189.199514	41565.1071	22645.1557
2013-06-03	-100	190.045366	41565.1071	22560.5705
2013-06-04	-100	187.53508	41565.1071	22811.5991
2013-06-05	-100	184.39722	41565.1071	23125.3851
2013-06-06	0	185.361315	23028.9756	23028.9756
2013-06-07	-100	187.680608	41797.0364	23028.9756
2013-06-10	-100	186.470937	41797.0364	23149.9427
2013-06-11	0	185.525023	23244.5341	23244.5341
2013-06-12	100	182.996543	4944.8798	23244.5341
2013-06-13	100	185.33403	4944.8798	23478.2828
2013-06-14	100	183.906068	4944.8798	23335.4866
2013-06-17	0	184.670066	23411.8864	23411.8864
2013-06-18	-100	186.3345	42045.3364	23411.8864
2013-06-19	-100	183.669596	42045.3364	23678.3768
2013-06-20	-100	179.494877	42045.3364	24095.8487
2013-06-21	0	177.775875	24267.7489	24267.7489
2013-06-24	0	176.029573	24267.7489	24267.7489
2013-06-25	100	177.339292	6533.8197	24267.7489
2013-06-26	0	177.230154	24256.8351	24256.8351
2013-06-27	0	177.948673	24256.8351	24256.8351
2013-06-28	0	173.819433	24256.8351	24256.8351
2013-07-01	0	173.974051	24256.8351	24256.8351
2013-07-02	100	174.174147	6839.4204	24256.8351
2013-07-03	0	175.765817	24416.0021	24416.0021
2013-07-05	0	177.293813	24416.0021	24416.0021
2013-07-08	0	177.339292	24416.0021	24416.0021
2013-07-09	-100	173.992245	41815.2266	24416.0021
2013-07-10	0	174.856291	24329.5975	24329.5975
2013-07-11	0	175.356533	24329.5975	24329.5975
2013-07-12	0	174.692584	24329.5975	24329.5975
2013-07-15	0	176.447961	24329.5975	24329.5975
2013-07-16	100	176.311538	6698.4437	24329.5975
2013-07-17	0	176.948203	24393.264	24393.264
2013-07-18	-100	180.076973	42400.9613	24393.264
2013-07-19	-100	176.029573	42400.9613	24798.004
2013-07-22	-100	176.529815	42400.9613	24747.9798
2013-07-23	0	177.339292	24667.0321	24667.0321
2013-07-24	-100	178.821824	42549.2145	24667.0321
2013-07-25	-100	179.376635	42549.2145	24611.551
2013-07-26	-100	179.494877	42549.2145	24599.7268
2013-07-29	0	178.458019	24703.4126	24703.4126
2013-07-30	-100	178.276103	42531.0229	24703.4126
2013-07-31	-100	177.393862	42531.0229	24791.6367
2013-08-01	-100	178.0942	42531.0229	24721.6029
2013-08-02	0	177.503014	24780.7215	24780.7215
2013-08-05	-100	177.81225	42561.9465	24780.7215
2013-08-06	0	173.710294	25190.9171	25190.9171
2013-08-07	0	172.357455	25190.9171	25190.9171
2013-08-08	0	171.781585	25190.9171	25190.9171
2013-08-09	100	171.68105	8022.8121	25190.9171
2013-08-12	0	172.841912	25307.0033	25307.0033
2013-08-13	0	172.229485	25307.0033	25307.0033
2013-08-14	0	171.415961	25307.0033	25307.0033
2013-08-15	-100	169.825471	42289.5504	25307.0033
2013-08-16	-100	169.414141	42289.5504	25348.1363
2013-08-19	0	168.39952	25449.5984	25449.5984
2013-08-20	0	168.701166	25449.5984	25449.5984
2013-08-21	0	168.97539	25449.5984	25449.5984
2013-08-22	0	169.277036	25449.5984	25449.5984
2013-08-23	0	169.487269	25449.5984	25449.5984
2013-08-26	-100	168.865706	42336.169	25449.5984
2013-08-27	0	167.037562	25632.4128	25632.4128
