Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,112.4375,116.0,111.875,116.0,10347700,89.257529
2000-01-04,114.0,114.5,110.875,112.0625,8227800,86.227774
2000-01-05,112.9375,119.75,112.125,116.0,12733200,89.257529
2000-01-06,118.0,118.9375,113.5,114.0,7971900,87.718606
2000-01-07,117.25,117.9375,110.625,113.5,11856700,87.333875
2000-01-10,117.25,119.375,115.375,118.0,8540500,90.796451
2000-01-11,117.875,121.125,116.625,119.0,7873300,91.565913
2000-01-12,119.625,122.0,118.25,119.5,6803800,91.950644
2000-01-13,119.9375,121.0,115.75,118.25,8489700,90.988817
2000-01-14,120.9375,123.3125,117.5,119.625,10956600,92.046826
2000-01-18,119.6875,119.75,115.0,115.75,7643900,89.065163
2000-01-19,115.5625,122.0,112.6875,119.5,8634500,91.950644
2000-01-20,123.0,124.75,119.0,119.0,17783400,91.565913
2000-01-21,121.875,123.0,119.9375,121.5,7868700,93.489567
2000-01-24,121.875,122.875,116.5625,121.5,6499200,93.489567
2000-01-25,116.75,119.5,116.0,119.125,6936900,91.662096
2000-01-26,119.0625,119.9375,116.0,116.75,4895100,89.834625
2000-01-27,118.0,118.4375,111.625,113.5,8324600,87.333875
2000-01-28,112.75,114.1875,110.0625,111.5625,6669400,85.843043
2000-01-31,111.375,112.8125,109.625,112.25,6202700,86.372048
2000-02-01,112.375,113.4375,109.125,110.0,7304700,84.64076
2000-02-02,112.0,115.8125,110.375,113.5,7707700,87.333875
2000-02-03,115.0,117.5,114.0625,117.125,6213800,90.123173
2000-02-04,118.1875,118.4375,114.8125,115.625,5405300,88.96898
2000-02-07,116.0,116.875,113.125,114.125,5779500,87.814788
2000-02-08,116.9375,119.0,116.1875,118.8125,5464300,91.517866
2000-02-09,119.0,119.75,117.0,117.375,5374700,90.410601
2000-02-10,117.6875,119.125,116.875,119.125,4446600,91.758576
2000-02-11,119.0625,119.4375,114.5625,115.375,5749400,88.870058
2000-02-14,116.0,116.375,114.5,116.0625,4544000,89.39962
2000-02-15,115.875,117.4375,113.875,117.125,5177500,90.218033
2000-02-16,116.5,117.3125,115.25,115.75,3966900,89.15891
2000-02-17,116.5,118.875,115.75,116.75,5237500,89.929181
2000-02-18,115.25,115.9375,111.5,112.5,7673400,86.655528
2000-02-22,112.0,113.4375,108.75,111.0,7654800,85.500121
2000-02-23,110.5,110.5,108.5,108.75,7435300,83.76701
2000-02-24,108.8125,111.0,108.1875,110.5,9112000,85.114985
2000-02-25,109.875,109.875,104.9375,108.0,10312200,83.189307
2000-02-28,104.625,106.5,103.9375,104.5,8479900,80.493357
2000-02-29,105.5625,105.5625,100.9375,102.75,10484900,79.145382
2000-03-01,102.0,105.5,100.0625,100.25,10807800,77.219704
2000-03-02,100.5,105.4375,99.5,103.125,11192900,79.434234
2000-03-03,107.25,110.0,106.0625,108.0,10162800,83.189307
2000-03-06,109.9375,111.0,101.0,103.0625,10747400,79.386092
2000-03-07,106.0,107.0,101.6875,103.0,10035100,79.33795
2000-03-08,103.0,106.875,102.75,106.25,8376400,81.841332
2000-03-09,106.5,108.0,104.125,108.0,6334100,83.189307
2000-03-10,107.625,109.0,105.0,105.25,7093200,81.071061
2000-03-13,104.0,109.0,102.5,107.6875,7871000,82.948597
2000-03-14,107.75,110.0,107.375,108.625,7973700,83.670727
2000-03-15,107.5,108.25,106.125,107.0,5665900,82.419036
2000-03-16,109.0,109.8125,107.875,109.0,6622500,83.959578
2000-03-17,108.25,111.6875,107.6875,110.0,8857300,84.72985
2000-03-20,110.0,113.375,109.9375,112.75,6563500,86.848096
2000-03-21,112.8125,114.6875,111.9375,113.5,6771600,87.425799
2000-03-22,114.5,115.375,113.875,114.25,6137800,88.003503
2000-03-23,115.875,115.875,111.625,115.25,6492400,88.773774
2000-03-24,115.375,122.25,115.0625,120.625,12125600,92.913983
2000-03-27,125.0,128.25,124.625,126.875,11862900,97.728179
2000-03-28,125.75,127.0,122.0625,122.5,8149600,94.358242
2000-03-29,122.3125,122.4375,118.5,119.0,7312300,91.662292
2000-03-30,118.875,123.0,118.6875,122.75,9158000,94.55081
2000-03-31,122.625,123.75,117.0625,118.375,8015200,91.180872
2000-04-03,120.0,122.375,119.4375,122.0,7715600,93.973106
2000-04-04,121.5,126.9375,115.0625,121.1875,16667200,93.347261
2000-04-05,120.5,125.75,119.75,125.0,8693500,96.28392
2000-04-06,123.5,128.0,122.625,122.75,8887400,94.55081
2000-04-07,123.5,125.6875,121.5,123.125,5380300,94.839661
2000-04-10,124.75,125.375,121.5625,122.125,5507300,94.06939
2000-04-11,121.625,121.625,117.8125,119.375,7738700,91.951144
2000-04-12,119.625,119.625,111.6875,113.75,8885200,87.618367
2000-04-13,112.5,114.3125,110.0,110.625,8236400,85.211269
2000-04-14,109.8125,112.75,102.875,105.0,11782000,80.878493
2000-04-17,103.875,112.25,103.3125,111.875,9969500,86.174108
2000-04-18,112.25,115.125,110.0625,111.5,8205500,85.885257
2000-04-19,109.75,109.75,102.8125,105.0,14674500,80.878493
2000-04-20,105.0,105.25,102.0625,104.0,10633300,80.108222
2000-04-24,102.0,107.1875,101.25,106.5,8523100,82.0339
2000-04-25,106.5,113.0,106.4375,112.5,9576400,86.655528
2000-04-26,112.5,113.9375,109.0,110.5,6182800,85.114985
2000-04-27,109.5,113.125,108.6875,110.625,6317500,85.211269
2000-04-28,112.0,112.6875,110.125,111.5,4888600,85.885257
2000-05-01,112.5,113.1875,110.4375,112.0,4196100,86.270392
2000-05-02,111.0,113.625,110.6875,111.375,4085000,85.788973
2000-05-03,110.5,111.125,106.5625,108.125,5543800,83.285591
2000-05-04,109.125,109.1875,107.1875,107.625,3631300,82.900455
2000-05-05,106.625,109.625,106.5,107.875,4695100,83.093023
2000-05-08,108.0625,110.375,107.625,109.75,4826900,84.639285
2000-05-09,110.5,110.625,108.25,109.0,4864900,84.060885
2000-05-10,105.5,105.6875,102.0625,103.0,10012700,79.43368
2000-05-11,104.0,107.5,103.1875,104.4375,8106200,80.542281
2000-05-12,103.75,105.75,103.25,104.4375,5599700,80.542281
2000-05-15,104.0,104.875,102.0,104.1875,5907800,80.349481
2000-05-16,105.125,109.25,105.0,109.0,7265800,84.060885
2000-05-17,107.5,108.875,106.125,107.875,5524500,83.193284
2000-05-18,106.125,107.3125,104.6875,106.0625,4577200,81.795482
2000-05-19,106.0625,107.5,105.0,106.4375,6419200,82.084683
2000-05-22,106.0,109.25,103.4375,109.25,6769400,84.253685
2000-05-23,109.0,110.0,107.125,107.375,5978900,82.807683
2000-05-24,106.5,110.0,104.1875,109.625,8184200,84.542885
2000-05-25,110.5,112.25,106.375,106.5,5967600,82.132883
2000-05-26,105.5,107.1875,104.5625,106.9375,4296900,82.470283
2000-05-30,107.75,111.0,107.6875,110.9375,3617500,85.555086
2000-05-31,110.5,110.75,107.1875,107.3125,3732500,82.759483
2000-06-01,107.5625,108.9375,105.5,106.0,5712500,81.747282
2000-06-02,109.0,109.75,107.625,108.8125,5473300,83.916284
2000-06-05,108.4375,114.1875,108.4375,112.8125,7281400,87.001088
2000-06-06,112.25,114.625,111.25,112.375,5369400,86.663687
2000-06-07,112.5,121.75,111.5,121.0,11115500,93.315294
2000-06-08,119.375,122.3125,117.5,119.75,9325600,92.351293
2000-06-09,119.875,120.75,118.875,119.6875,4739100,92.303093
2000-06-12,119.125,120.4375,118.84375,118.84375,3640300,91.652392
2000-06-13,118.875,119.9375,116.75,119.3125,4008600,92.013893
2000-06-14,118.875,120.0,115.5,116.0,5282600,89.45929
2000-06-15,116.0,119.0,115.875,116.8125,5386300,90.085891
2000-06-16,116.3125,117.6875,113.25,113.25,8046200,87.338488
2000-06-19,113.5,120.375,113.25,120.375,6059200,92.833293
2000-06-20,120.0,120.6875,115.375,116.375,7103800,89.74849
2000-06-21,115.5625,115.9375,113.5,114.5,6487000,88.302489
2000-06-22,114.125,114.3125,111.25,111.8125,4853100,86.229887
2000-06-23,113.5,113.625,110.8125,111.875,3360900,86.278087
2000-06-26,113.0,115.75,112.875,114.40625,3625900,88.230189
2000-06-27,111.625,112.8125,108.75,109.75,6607900,84.639285
2000-06-28,110.0,115.1875,109.875,113.78125,6436600,87.748188
2000-06-29,111.75,114.375,110.0625,114.0,7688500,87.916888
2000-06-30,112.6875,113.1875,108.625,109.5625,8612600,84.494685
2000-07-03,108.75,109.875,108.3125,109.5,2304400,84.446485
2000-07-05,105.625,105.625,101.125,105.0,14339600,80.976081
2000-07-06,105.0,105.125,100.0,101.25,12932700,78.084079
2000-07-07,102.6875,105.0625,101.625,105.0625,9031700,81.024282
2000-07-10,104.6875,104.9375,102.875,103.3125,4212200,79.67468
2000-07-11,103.25,104.0,101.0,102.0,5619800,78.662479
2000-07-12,103.1875,105.875,102.625,104.625,5550500,80.686881
2000-07-13,105.4375,105.9375,102.0,104.0,5669700,80.204881
2000-07-14,103.75,104.875,103.125,103.9375,4020000,80.156681
2000-07-17,104.4375,107.875,104.1875,105.5,6632700,81.361682
2000-07-18,104.125,104.8125,102.625,103.3125,6452700,79.67468
2000-07-19,102.375,109.5,101.0,108.75,7781400,83.868084
2000-07-20,112.0,117.8125,111.75,117.25,23048400,90.423291
2000-07-21,117.0,117.0,113.75,114.75,8966400,88.495289
2000-07-24,114.125,115.625,111.625,112.5,6814400,86.760087
2000-07-25,113.25,113.375,110.25,112.0,5566900,86.374487
2000-07-26,111.0,112.375,108.875,109.875,6670400,84.735685
2000-07-27,109.875,111.5,109.3125,110.3125,4047400,85.073086
2000-07-28,111.125,112.5,108.875,111.8125,5355600,86.229887
2000-07-31,110.5,113.6875,110.0625,112.25,5113500,86.567287
2000-08-01,112.0,112.4375,110.25,110.5,2996500,85.217686
2000-08-02,111.0,114.875,110.75,114.25,5877900,88.109689
2000-08-03,113.0,116.5,112.3125,116.0,5567400,89.45929
2000-08-04,116.0,116.5,114.3125,115.875,4460500,89.36289
2000-08-07,116.625,119.0,115.8125,116.3125,5910700,89.70029
2000-08-08,115.6875,119.625,115.5625,118.875,5736700,91.779069
2000-08-09,119.0,120.8125,118.75,118.75,6585400,91.682561
2000-08-10,118.75,120.25,117.875,119.75,5484100,92.454625
2000-08-11,119.75,121.8125,119.1875,120.625,6142400,93.130181
2000-08-14,120.0,123.6875,119.3125,123.25,4949400,95.156848
2000-08-15,122.0625,122.625,120.75,122.0,4378100,94.191768
2000-08-16,121.0625,122.9375,119.5,122.375,5946000,94.481292
2000-08-17,119.75,122.8125,119.5,122.5,4338400,94.5778
2000-08-18,122.375,123.375,120.125,120.4375,4127500,92.985419
2000-08-21,121.0625,122.1875,120.0625,121.4375,3234200,93.757482
2000-08-22,121.1875,122.1875,121.0,121.375,2769400,93.709228
2000-08-23,120.3125,123.75,119.875,123.25,4251200,95.156848
2000-08-24,123.0,125.4375,122.6875,124.8125,5988300,96.363197
2000-08-25,124.3125,129.875,124.25,129.0,8279000,99.596214
2000-08-28,129.875,133.1875,129.75,131.5,8536600,101.526373
2000-08-29,131.5,134.25,131.0,132.875,6040000,102.58796
