	GOOG	Stock Price	Cash	Portfolio Value
2015-02-04	-100	522.762349	174051.4882	121775.2533
2015-02-05	0	527.582391	121293.2491	121293.2491
2015-02-06	100	531.002415	68193.0076	121293.2491
2015-02-09	100	527.832406	68193.0076	120976.2482
2015-02-10	100	536.942412	68193.0076	121887.2488
2015-02-11	100	535.972405	68193.0076	121790.2481
2015-02-12	100	542.932472	68193.0076	122486.2548
2015-02-13	100	549.012501	68193.0076	123094.2577
2015-02-17	100	542.842443	68193.0076	122477.2519
2015-02-18	100	539.702422	68193.0076	122163.2498
2015-02-19	100	542.872432	68193.0076	122480.2508
2015-02-20	0	538.952441	122088.2517	122088.2517
2015-02-23	100	531.912381	68897.0136	122088.2517
2015-02-24	100	536.092424	68897.0136	122506.256
2015-02-25	0	543.872489	123284.2625	123284.2625
2015-02-26	0	555.482516	123284.2625	123284.2625
2015-02-27	0	558.402511	123284.2625	123284.2625
2015-03-02	0	571.342601	123284.2625	123284.2625
2015-03-03	0	573.64261	123284.2625	123284.2625
2015-03-04	0	573.372583	123284.2625	123284.2625
2015-03-05	0	575.332609	123284.2625	123284.2625
2015-03-06	100	567.687558	66515.5067	123284.2625
2015-03-09	0	568.852557	123400.7624	123400.7624
2015-03-10	0	555.012538	123400.7624	123400.7624
2015-03-11	100	551.182515	68282.5109	123400.7624
2015-03-12	100	555.512505	68282.5109	123833.7614
2015-03-13	100	547.322503	68282.5109	123014.7612
2015-03-16	100	554.512509	68282.5109	123733.7618
2015-03-17	100	550.842471	68282.5109	123366.758
2015-03-18	100	559.502513	68282.5109	124232.7622
2015-03-19	100	557.992512	68282.5109	124081.7621
2015-03-20	0	560.362537	124318.7646	124318.7646
2015-03-23	0	558.81251	124318.7646	124318.7646
2015-03-24	0	570.192597	124318.7646	124318.7646
2015-03-25	-100	558.787539	180197.5185	124318.7646
2015-03-26	0	555.172522	124680.2663	124680.2663
2015-03-27	0	548.342512	124680.2663	124680.2663
2015-03-30	-100	552.032502	179883.5165	124680.2663
2015-03-31	-100	548.002468	179883.5165	125083.2697
2015-04-01	-100	542.562439	179883.5165	125627.2726
2015-04-02	-100	535.532417	179883.5165	126330.2748
2015-04-06	0	536.767432	126206.7733	126206.7733
2015-04-07	100	537.022404	72504.5329	126206.7733
2015-04-08	100	541.612446	72504.5329	126665.7775
2015-04-09	0	540.782472	126582.7801	126582.7801
2015-04-10	-100	540.012416	180584.0217	126582.7801
2015-04-13	-100	539.172466	180584.0217	126666.7751
2015-04-14	-100	530.392405	180584.0217	127544.7812
2015-04-15	-100	532.532429	180584.0217	127330.7788
2015-04-16	-100	533.802391	180584.0217	127203.7826
2015-04-17	-100	524.052386	180584.0217	128178.7831
2015-04-20	-100	535.382408	180584.0217	127045.7809
2015-04-21	0	533.972413	127186.7804	127186.7804
2015-04-22	100	539.367458	73250.0346	127186.7804
2015-04-23	0	547.002472	127950.2818	127950.2818
2015-04-24	-100	565.062561	184456.5379	127950.2818
2015-04-27	-100	555.369995	184456.5379	128919.5384
2015-04-28	-100	553.679993	184456.5379	129088.5386
2015-04-29	-100	549.080017	184456.5379	129548.5362
2015-04-30	-100	537.340027	184456.5379	130722.5352
2015-05-01	0	537.900024	130666.5355	130666.5355
2015-05-04	0	540.780029	130666.5355	130666.5355
2015-05-05	0	530.799988	130666.5355	130666.5355
2015-05-06	0	524.219971	130666.5355	130666.5355
2015-05-07	0	530.700012	130666.5355	130666.5355
2015-05-08	100	538.219971	76844.5384	130666.5355
2015-05-11	100	535.700012	76844.5384	130414.5396
2015-05-12	100	529.039978	76844.5384	129748.5362
2015-05-13	100	529.619995	76844.5384	129806.5379
2015-05-14	100	538.400024	76844.5384	130684.5408
2015-05-15	100	533.849976	76844.5384	130229.536
2015-05-18	100	532.299988	76844.5384	130074.5372
2015-05-19	100	537.359985	76844.5384	130580.5369
2015-05-20	0	539.27002	130771.5404	130771.5404
2015-05-21	-100	542.51001	185022.5414	130771.5404
2015-05-22	0	540.109985	131011.5429	131011.5429
2015-05-26	0	532.320007	131011.5429	131011.5429
2015-05-27	100	539.789978	77032.5451	131011.5429
2015-05-28	0	539.780029	131010.548	131010.548
2015-05-29	0	532.109985	131010.548	131010.548
2015-06-01	0	533.98999	131010.548	131010.548
2015-06-02	100	539.179993	77092.5487	131010.548
2015-06-03	0	540.309998	131123.5485	131123.5485
2015-06-04	-100	536.700012	184793.5497	131123.5485
2015-06-05	-100	533.330017	184793.5497	131460.548
2015-06-08	0	526.830017	132110.548	132110.548
2015-06-09	0	526.690002	132110.548	132110.548
2015-06-10	-100	536.690002	185779.5482	132110.548
2015-06-11	-100	534.609985	185779.5482	132318.5497
2015-06-12	-100	532.330017	185779.5482	132546.5465
2015-06-15	-100	527.200012	185779.5482	133059.547
2015-06-16	0	528.150024	132964.5458	132964.5458
2015-06-17	0	529.26001	132964.5458	132964.5458
2015-06-18	100	536.72998	79291.5478	132964.5458
2015-06-19	100	536.690002	79291.5478	132960.548
2015-06-22	100	538.190002	79291.5478	133110.548
2015-06-23	0	540.47998	133339.5458	133339.5458
2015-06-24	0	537.840027	133339.5458	133339.5458
2015-06-25	-100	535.22998	186862.5438	133339.5458
2015-06-26	0	531.690002	133693.5436	133693.5436
2015-06-29	0	521.52002	133693.5436	133693.5436
2015-06-30	0	520.51001	133693.5436	133693.5436
2015-07-01	0	521.840027	133693.5436	133693.5436
2015-07-02	0	523.400024	133693.5436	133693.5436
2015-07-06	100	522.859985	81407.5451	133693.5436
2015-07-07	100	525.02002	81407.5451	133909.5471
2015-07-08	100	516.830017	81407.5451	133090.5468
2015-07-09	0	520.679993	133475.5444	133475.5444
2015-07-10	100	530.130005	80462.5439	133475.5444
2015-07-13	0	546.549988	135117.5427	135117.5427
2015-07-14	-100	561.099976	191227.5403	135117.5427
2015-07-15	-100	560.219971	191227.5403	135205.5432
2015-07-16	0	579.849976	133242.5427	133242.5427
2015-07-17	-100	672.929993	200535.542	133242.5427
2015-07-20	-100	663.02002	200535.542	134233.54
2015-07-21	-100	662.299988	200535.542	134305.5432
2015-07-22	-100	662.099976	200535.542	134325.5444
2015-07-23	-100	644.280029	200535.542	136107.5391
2015-07-24	-100	623.559998	200535.542	138179.5422
2015-07-27	-100	627.26001	200535.542	137809.541
2015-07-28	-100	628.0	200535.542	137735.542
2015-07-29	0	631.929993	137342.5427	137342.5427
2015-07-30	-100	632.590027	200601.5454	137342.5427
2015-07-31	0	625.609985	138040.5469	138040.5469
2015-08-03	0	631.210022	138040.5469	138040.5469
2015-08-04	0	629.25	138040.5469	138040.5469
2015-08-05	0	643.780029	138040.5469	138040.5469
2015-08-06	0	642.679993	138040.5469	138040.5469
2015-08-07	0	635.299988	138040.5469	138040.5469
2015-08-10	0	633.72998	138040.5469	138040.5469
2015-08-11	-100	660.780029	204118.5498	138040.5469
2015-08-12	-100	659.559998	204118.5498	138162.55
2015-08-13	-100	656.450012	204118.5498	138473.5486
2015-08-14	-100	657.119995	204118.5498	138406.5503
2015-08-17	-100	660.869995	204118.5498	138031.5503
2015-08-18	-100	656.130005	204118.5498	138505.5493
2015-08-19	-100	660.900024	204118.5498	138028.5474
2015-08-20	-100	646.830017	204118.5498	139435.5481
2015-08-21	0	612.47998	142870.5518	142870.5518
2015-08-24	100	589.609985	83909.5533	142870.5518
2015-08-25	100	582.059998	83909.5533	142115.5531
2015-08-26	0	628.619995	146771.5528	146771.5528
2015-08-27	-100	637.609985	210532.5513	146771.5528
2015-08-28	-100	630.380005	210532.5513	147494.5508
2015-08-31	-100	618.25	210532.5513	148707.5513
2015-09-01	-100	597.789978	210532.5513	150753.5535
2015-09-02	-100	614.340027	210532.5513	149098.5486
2015-09-03	-100	606.25	210532.5513	149907.5513
2015-09-04	-100	600.700012	210532.5513	150462.5501
2015-09-08	-100	614.659973	210532.5513	149066.554
2015-09-09	-100	612.719971	210532.5513	149260.5542
2015-09-10	0	621.349976	148397.5537	148397.5537
2015-09-11	0	625.77002	148397.5537	148397.5537
2015-09-14	0	623.23999	148397.5537	148397.5537
2015-09-15	100	635.140015	84883.5522	148397.5537
2015-09-16	100	635.97998	84883.5522	148481.5502
2015-09-17	0	642.900024	149173.5546	149173.5546
2015-09-18	0	629.25	149173.5546	149173.5546
2015-09-21	-100	635.440002	212717.5548	149173.5546
2015-09-22	0	622.690002	150448.5546	150448.5546
2015-09-23	0	622.359985	150448.5546	150448.5546
2015-09-24	-100	625.799988	213028.5534	150448.5546
2015-09-25	-100	611.969971	213028.5534	151831.5563
2015-09-28	0	594.890015	153539.5519	153539.5519
2015-09-29	0	594.969971	153539.5519	153539.5519
2015-09-30	100	608.419983	92697.5536	153539.5519
2015-10-01	100	611.289978	92697.5536	153826.5514
2015-10-02	0	626.909973	155388.5509	155388.5509
2015-10-05	100	641.469971	91241.5538	155388.5509
2015-10-06	100	645.440002	91241.5538	155785.554
2015-10-07	0	642.359985	155477.5523	155477.5523
2015-10-08	100	639.159973	91561.555	155477.5523
2015-10-09	0	643.609985	155922.5535	155922.5535
2015-10-12	100	646.669983	91255.5552	155922.5535
2015-10-13	100	652.299988	91255.5552	156485.554
2015-10-14	100	651.159973	91255.5552	156371.5525
2015-10-15	100	661.73999	91255.5552	157429.5542
2015-10-16	100	662.200012	91255.5552	157475.5564
2015-10-19	0	666.099976	157865.5528	157865.5528
2015-10-20	-100	650.280029	222893.5557	157865.5528
2015-10-21	0	642.609985	158632.5572	158632.5572
2015-10-22	0	651.789978	158632.5572	158632.5572
2015-10-23	100	702.0	88432.5572	158632.5572
2015-10-26	100	712.780029	88432.5572	159710.5601
2015-10-27	100	708.48999	88432.5572	159281.5562
2015-10-28	100	712.950012	88432.5572	159727.5584
2015-10-29	100	716.919983	88432.5572	160124.5555
2015-10-30	100	710.809998	88432.5572	159513.557
2015-11-02	0	721.109985	160543.5557	160543.5557
2015-11-03	0	722.159973	160543.5557	160543.5557
2015-11-04	0	728.109985	160543.5557	160543.5557
2015-11-05	0	731.25	160543.5557	160543.5557
2015-11-06	0	733.76001	160543.5557	160543.5557
2015-11-09	0	724.890015	160543.5557	160543.5557
2015-11-10	100	728.320007	87711.555	160543.5557
2015-11-11	100	735.400024	87711.555	161251.5574
2015-11-12	0	731.22998	160834.553	160834.553
2015-11-13	100	717.0	89134.553	160834.553
2015-11-16	100	728.960022	89134.553	162030.5552
2015-11-17	100	725.299988	89134.553	161664.5518
2015-11-18	100	740.0	89134.553	163134.553
2015-11-19	100	738.409973	89134.553	162975.5503
2015-11-20	100	756.599976	89134.553	164794.5506
2015-11-23	0	755.97998	164732.551	164732.551
2015-11-24	100	748.280029	89904.5481	164732.551
2015-11-25	0	748.150024	164719.5505	164719.5505
2015-11-27	0	750.26001	164719.5505	164719.5505
2015-11-30	0	742.599976	164719.5505	164719.5505
2015-12-01	0	767.039978	164719.5505	164719.5505
2015-12-02	-100	762.380005	240957.551	164719.5505
2015-12-03	0	752.539978	165703.5532	165703.5532
2015-12-04	-100	766.809998	242384.553	165703.5532
2015-12-07	0	763.25	166059.553	166059.553
2015-12-08	0	762.369995	166059.553	166059.553
2015-12-09	0	751.609985	166059.553	166059.553
2015-12-10	0	749.460022	166059.553	166059.553
2015-12-11	100	738.869995	92172.5535	166059.553
2015-12-14	100	747.77002	92172.5535	166949.5555
2015-12-15	100	743.400024	92172.5535	166512.5559
2015-12-16	0	758.090027	167981.5562	167981.5562
2015-12-17	-100	749.429993	242924.5555	167981.5562
2015-12-18	-100	739.309998	242924.5555	168993.5557
2015-12-21	-100	747.77002	242924.5555	168147.5535
2015-12-22	-100	750.0	242924.5555	167924.5555
2015-12-23	-100	750.309998	242924.5555	167893.5557
2015-12-24	0	748.400024	168084.5531	168084.5531
2015-12-28	100	762.51001	91833.5521	168084.5531
2015-12-29	100	776.599976	91833.5521	169493.5497
2015-12-30	0	771.0	168933.5521	168933.5521
2015-12-31	0	758.880005	168933.5521	168933.5521
