	Cummulative Return
0	-0.35869315311203376
1	-0.30098550680604963
2	1.1050552183737468
3	1.2903817334249554
4	1.938964314154489
5	3.9602947709073932
6	3.4018500962231801
7	4.5271273126295277
8	3.6472253673791775
9	4.4999994204685416
10	4.5538837867788891
11	6.2965467397422099
12	5.3302089847153917
13	5.3718865689737738
14	6.8695427834659171
15	6.2850796617775462
16	6.7350182918623531
17	7.2368679466551917
18	6.4631316020501073
19	7.2578297720796545
20	6.8181257908292459
21	6.7393343955446259
22	6.8985204413938499
23	6.9568436980726052
24	7.021454895720229
25	6.9109743751165134
26	6.7203448019813798
27	7.5104808017381313
28	7.1257708539031057
29	6.916769812990629
30	7.432552489088847
31	7.4770655851310899
32	7.77718904506016
33	7.7443897594177624
34	7.9606659916317231
35	7.8373617962358111
36	7.7239210782717986
37	7.8270038674970195
38	7.7665849017653574
39	7.758446553845797
40	7.7702838907591687
41	7.7702838907591687
42	7.7860668504578836
43	7.8292234729771604
44	7.8252778008699924
45	7.8329224619709699
46	7.8425403660305975
47	7.8440199714924876
48	7.8324292930315575
49	7.8430335349700115
50	7.8425403660305975
51	7.8425403660305975
52	7.8501851997579681
53	7.8462393550244087
54	7.8425403660305975
55	7.8353887012426409
56	7.8385945212970363
57	7.8501851997579681
58	7.8501851997579681
59	7.8425403660305975
60	7.8425403660305975
61	7.8385945212970363
62	7.8425403660305975
63	7.8425403660305975
64	7.8425403660305975
65	7.8425403660305975
66	7.8425403660305975
67	7.8425403660305975
68	7.8425403660305975
69	7.8425403660305975
70	7.8425403660305975
71	7.8425403660305975
72	7.8425403660305975
73	7.8425403660305975
74	7.8425403660305975
75	7.8425403660305975
76	7.8425403660305975
77	7.8425403660305975
78	7.8425403660305975
79	7.8425403660305975
