	CELG	Stock Price	Cash	Portfolio Value
2013-12-20	0	83.739998	12794.0008	12794.0008
2013-12-23	0	84.175003	12794.0008	12794.0008
2013-12-24	0	83.709999	12794.0008	12794.0008
2013-12-26	-100	84.57	21251.0008	12794.0008
2013-12-27	-100	84.464996	21251.0008	12804.5012
2013-12-30	-100	84.489998	21251.0008	12802.001
2013-12-31	0	84.485001	12802.5007	12802.5007
2014-01-02	0	85.970001	12802.5007	12802.5007
2014-01-03	0	84.904999	12802.5007	12802.5007
2014-01-06	0	81.309998	12802.5007	12802.5007
2014-01-07	0	82.305	12802.5007	12802.5007
2014-01-08	100	83.730003	4429.5004	12802.5007
2014-01-09	100	84.349998	4429.5004	12864.5002
2014-01-10	100	84.904999	4429.5004	12920.0003
2014-01-13	0	82.449997	12674.5001	12674.5001
2014-01-14	-100	83.519997	21026.4998	12674.5001
2014-01-15	0	82.675003	12758.9995	12758.9995
2014-01-16	100	83.800003	4378.9992	12758.9995
2014-01-17	100	83.519997	4378.9992	12730.9989
2014-01-21	100	84.275002	4378.9992	12806.4994
2014-01-22	100	84.989998	4378.9992	12877.999
2014-01-23	0	84.275002	12806.4994	12806.4994
2014-01-24	-100	80.610001	20867.4995	12806.4994
2014-01-27	-100	78.135002	20867.4995	13053.9993
2014-01-28	-100	79.989998	20867.4995	12868.4997
2014-01-29	0	79.230003	12944.4992	12944.4992
2014-01-30	0	76.989998	12944.4992	12944.4992
2014-01-31	0	75.964996	12944.4992	12944.4992
2014-02-03	0	74.300003	12944.4992	12944.4992
2014-02-04	0	75.754997	12944.4992	12944.4992
2014-02-05	0	75.425003	12944.4992	12944.4992
2014-02-06	0	74.955002	12944.4992	12944.4992
2014-02-07	100	78.440002	5100.499	12944.4992
2014-02-10	100	78.309998	5100.499	12931.4988
2014-02-11	100	79.955002	5100.499	13095.9992
2014-02-12	0	80.269997	13127.4987	13127.4987
2014-02-13	0	82.370003	13127.4987	13127.4987
2014-02-14	0	81.964996	13127.4987	13127.4987
2014-02-18	0	82.919998	13127.4987	13127.4987
2014-02-19	100	81.5	4977.4987	13127.4987
2014-02-20	100	81.790001	4977.4987	13156.4988
2014-02-21	100	80.485001	4977.4987	13025.9988
2014-02-24	100	82.044998	4977.4987	13181.9985
2014-02-25	0	82.169998	13194.4985	13194.4985
2014-02-26	100	79.989998	5195.4987	13194.4985
2014-02-27	0	80.834999	13278.9986	13278.9986
2014-02-28	-100	80.375	21316.4986	13278.9986
2014-03-03	0	80.139999	13302.4987	13302.4987
2014-03-04	100	80.915001	5210.9986	13302.4987
2014-03-05	0	81.620003	13372.9989	13372.9989
2014-03-06	-100	78.305	21203.4989	13372.9989
2014-03-07	-100	78.279999	21203.4989	13375.499
2014-03-10	-100	79.209999	21203.4989	13282.499
2014-03-11	-100	79.195	21203.4989	13283.9989
2014-03-12	-100	78.959999	21203.4989	13307.499
2014-03-13	-100	78.0	21203.4989	13403.4989
2014-03-14	0	74.705002	13732.9987	13732.9987
2014-03-17	100	75.114998	6221.4989	13732.9987
2014-03-18	0	76.845001	13905.999	13905.999
2014-03-19	-100	75.419998	21447.9988	13905.999
2014-03-20	0	75.004997	13947.4991	13947.4991
2014-03-21	0	72.199997	13947.4991	13947.4991
2014-03-24	-100	70.739998	21021.4989	13947.4991
2014-03-25	-100	72.25	21021.4989	13796.4989
2014-03-26	-100	71.305	21021.4989	13890.9989
2014-03-27	-100	71.110001	21021.4989	13910.4988
2014-03-28	-100	69.644997	21021.4989	14056.9992
2014-03-31	-100	69.800003	21021.4989	14041.4986
2014-04-01	0	73.300003	13691.4986	13691.4986
2014-04-02	-100	73.709999	21062.4985	13691.4986
2014-04-03	-100	71.800003	21062.4985	13882.4982
2014-04-04	0	68.690002	14193.4983	14193.4983
2014-04-07	0	69.580002	14193.4983	14193.4983
2014-04-08	0	69.110001	14193.4983	14193.4983
2014-04-09	100	73.660004	6827.4979	14193.4983
2014-04-10	100	69.989998	6827.4979	13826.4977
2014-04-11	100	68.449997	6827.4979	13672.4976
2014-04-14	100	69.029999	6827.4979	13730.4978
2014-04-15	100	69.919998	6827.4979	13819.4977
2014-04-16	0	70.93	13920.4979	13920.4979
2014-04-17	0	70.754997	13920.4979	13920.4979
2014-04-21	100	71.915001	6728.9978	13920.4979
2014-04-22	0	73.32	14060.9978	14060.9978
2014-04-23	0	72.410004	14060.9978	14060.9978
2014-04-24	100	70.625	6998.4978	14060.9978
2014-04-25	100	71.029999	6998.4978	14101.4977
2014-04-28	100	71.385002	6998.4978	14136.998
2014-04-29	0	73.349998	14333.4976	14333.4976
2014-04-30	100	73.504997	6982.9979	14333.4976
2014-05-01	100	74.400002	6982.9979	14422.9981
2014-05-02	100	73.699997	6982.9979	14352.9976
2014-05-05	0	74.18	14400.9979	14400.9979
2014-05-06	-100	73.349998	21735.9977	14400.9979
2014-05-07	-100	72.625	21735.9977	14473.4977
2014-05-08	0	72.059998	14529.9979	14529.9979
2014-05-09	100	73.334999	7196.498	14529.9979
2014-05-12	0	75.264999	14722.9979	14722.9979
2014-05-13	-100	74.940002	22216.9981	14722.9979
2014-05-14	-100	75.875	22216.9981	14629.4981
2014-05-15	0	74.425003	14774.4978	14774.4978
2014-05-16	100	73.660004	7408.4974	14774.4978
2014-05-19	100	73.690002	7408.4974	14777.4976
2014-05-20	100	73.824997	7408.4974	14790.9971
2014-05-21	0	74.07	14815.4974	14815.4974
2014-05-22	0	75.230003	14815.4974	14815.4974
2014-05-23	0	75.065002	14815.4974	14815.4974
2014-05-27	0	77.565002	14815.4974	14815.4974
2014-05-28	-100	77.150002	22530.4976	14815.4974
2014-05-29	-100	76.629997	22530.4976	14867.4979
2014-05-30	-100	76.514999	22530.4976	14878.9977
2014-06-02	0	77.434998	14786.9978	14786.9978
2014-06-03	0	77.754997	14786.9978	14786.9978
2014-06-04	0	79.410004	14786.9978	14786.9978
2014-06-05	100	80.860001	6700.9977	14786.9978
2014-06-06	0	80.654999	14766.4976	14766.4976
2014-06-09	0	80.870003	14766.4976	14766.4976
2014-06-10	0	81.324997	14766.4976	14766.4976
2014-06-11	-100	80.555	22821.9976	14766.4976
2014-06-12	-100	80.110001	22821.9976	14810.9975
2014-06-13	-100	79.995003	22821.9976	14822.4973
2014-06-16	0	80.535004	14768.4972	14768.4972
2014-06-17	100	79.934998	6774.9974	14768.4972
2014-06-18	100	80.535004	6774.9974	14828.4978
2014-06-19	0	84.154999	15190.4973	15190.4973
2014-06-20	100	85.730003	6617.497	15190.4973
2014-06-23	100	85.495003	6617.497	15166.9973
2014-06-24	100	85.709999	6617.497	15188.4969
2014-06-25	0	86.459999	15263.4969	15263.4969
2014-06-26	100	86.620003	6601.4966	15263.4969
2014-06-27	0	86.800003	15281.4969	15281.4969
2014-06-30	100	85.879997	6693.4972	15281.4969
2014-07-01	100	88.5	6693.4972	15543.4972
2014-07-02	0	90.07	15700.4972	15700.4972
2014-07-03	-100	90.190002	24719.4974	15700.4972
2014-07-07	-100	88.860001	24719.4974	15833.4973
2014-07-08	0	85.720001	16147.4973	16147.4973
2014-07-09	100	87.519997	7395.4976	16147.4973
2014-07-10	100	87.830002	7395.4976	16178.4978
2014-07-11	0	89.190002	16314.4978	16314.4978
2014-07-14	0	88.370003	16314.4978	16314.4978
2014-07-15	-100	86.779999	24992.4977	16314.4978
2014-07-16	-100	86.050003	24992.4977	16387.4974
2014-07-17	-100	83.129997	24992.4977	16679.498
2014-07-18	0	85.059998	16486.4979	16486.4979
2014-07-21	-100	85.309998	25017.4977	16486.4979
2014-07-22	-100	86.660004	25017.4977	16351.4973
2014-07-23	-100	89.120003	25017.4977	16105.4974
2014-07-24	0	86.190002	16398.4975	16398.4975
2014-07-25	0	87.160004	16398.4975	16398.4975
2014-07-28	100	87.639999	7634.4976	16398.4975
2014-07-29	100	87.730003	7634.4976	16407.4979
2014-07-30	100	88.339996	7634.4976	16468.4972
2014-07-31	0	87.150002	16349.4978	16349.4978
2014-08-01	-100	86.650002	25014.498	16349.4978
2014-08-04	-100	87.459999	25014.498	16268.4981
2014-08-05	-100	86.57	25014.498	16357.498
2014-08-06	-100	86.129997	25014.498	16401.4983
2014-08-07	-100	85.220001	25014.498	16492.4979
2014-08-08	0	86.510002	16363.4978	16363.4978
2014-08-11	100	86.879997	7675.4981	16363.4978
2014-08-12	100	86.449997	7675.4981	16320.4978
2014-08-13	0	88.410004	16516.4985	16516.4985
2014-08-14	0	88.459999	16516.4985	16516.4985
2014-08-15	100	89.610001	7555.4984	16516.4985
2014-08-18	100	91.309998	7555.4984	16686.4982
2014-08-19	100	91.360001	7555.4984	16691.4985
2014-08-20	100	92.0	7555.4984	16755.4984
2014-08-21	100	91.660004	7555.4984	16721.4988
2014-08-22	0	91.620003	16717.4987	16717.4987
2014-08-25	-100	93.400002	26057.4989	16717.4987
2014-08-26	-100	95.660004	26057.4989	16491.4985
2014-08-27	-100	94.739998	26057.4989	16583.4991
2014-08-28	0	94.699997	16587.4992	16587.4992
2014-08-29	-100	95.019997	26089.4989	16587.4992
2014-09-02	0	95.089996	16580.4993	16580.4993
2014-09-03	-100	94.940002	26074.4995	16580.4993
2014-09-04	0	93.93	16681.4995	16681.4995
2014-09-05	100	93.790001	7302.4994	16681.4995
2014-09-08	100	94.029999	7302.4994	16705.4993
2014-09-09	100	92.93	7302.4994	16595.4994
2014-09-10	0	94.089996	16711.499	16711.499
2014-09-11	0	91.959999	16711.499	16711.499
2014-09-12	-100	91.519997	25863.4987	16711.499
2014-09-15	-100	89.459999	25863.4987	16917.4988
2014-09-16	0	92.57	16606.4987	16606.4987
2014-09-17	0	92.260002	16606.4987	16606.4987
2014-09-18	0	93.269997	16606.4987	16606.4987
2014-09-19	0	93.849998	16606.4987	16606.4987
2014-09-22	0	92.190002	16606.4987	16606.4987
2014-09-23	0	93.120003	16606.4987	16606.4987
2014-09-24	0	96.209999	16606.4987	16606.4987
2014-09-25	100	93.160004	7290.4983	16606.4987
2014-09-26	0	94.459999	16736.4982	16736.4982
2014-09-29	0	95.639999	16736.4982	16736.4982
2014-09-30	-100	94.779999	26214.4981	16736.4982
2014-10-01	-100	93.43	26214.4981	16871.4981
2014-10-02	0	92.809998	16933.4983	16933.4983
2014-10-03	0	95.209999	16933.4983	16933.4983
2014-10-06	0	94.5	16933.4983	16933.4983
2014-10-07	100	92.449997	7688.4986	16933.4983
2014-10-08	100	94.889999	7688.4986	17177.4985
2014-10-09	0	92.379997	16926.4983	16926.4983
2014-10-10	-100	90.93	26019.4983	16926.4983
2014-10-13	-100	87.480003	26019.4983	17271.498
2014-10-14	-100	86.480003	26019.4983	17371.498
2014-10-15	-100	86.550003	26019.4983	17364.498
2014-10-16	0	86.379997	17381.4986	17381.4986
2014-10-17	0	88.120003	17381.4986	17381.4986
2014-10-20	100	92.0	8181.4986	17381.4986
2014-10-21	0	94.970001	17678.4987	17678.4987
2014-10-22	100	94.760002	8202.4985	17678.4987
2014-10-23	0	100.400002	18242.4987	18242.4987
2014-10-24	0	103.239998	18242.4987	18242.4987
2014-10-27	0	103.099998	18242.4987	18242.4987
2014-10-28	0	105.699997	18242.4987	18242.4987
2014-10-29	0	105.139999	18242.4987	18242.4987
2014-10-30	0	106.940002	18242.4987	18242.4987
2014-10-31	0	107.089996	18242.4987	18242.4987
2014-11-03	0	107.410004	18242.4987	18242.4987
2014-11-04	0	105.75	18242.4987	18242.4987
2014-11-05	0	105.150002	18242.4987	18242.4987
2014-11-06	-100	107.139999	28956.4986	18242.4987
2014-11-07	-100	106.449997	28956.4986	18311.4989
2014-11-10	-100	108.010002	28956.4986	18155.4984
2014-11-11	0	107.849998	18171.4988	18171.4988
2014-11-12	100	108.25	7346.4988	18171.4988
2014-11-13	0	107.43	18089.4988	18089.4988
2014-11-14	0	104.050003	18089.4988	18089.4988
2014-11-17	0	104.360001	18089.4988	18089.4988
2014-11-18	100	106.779999	7411.4989	18089.4988
2014-11-19	0	106.980003	18109.4992	18109.4992
2014-11-20	0	107.349998	18109.4992	18109.4992
2014-11-21	0	108.199997	18109.4992	18109.4992
2014-11-24	0	110.980003	18109.4992	18109.4992
2014-11-25	100	111.07	7002.4992	18109.4992
2014-11-26	100	112.610001	7002.4992	18263.4993
2014-11-28	100	113.690002	7002.4992	18371.4994
2014-12-01	0	113.43	18345.4992	18345.4992
2014-12-02	100	115.199997	6825.4995	18345.4992
2014-12-03	0	114.230003	18248.4998	18248.4998
2014-12-04	0	113.629997	18248.4998	18248.4998
2014-12-05	0	114.129997	18248.4998	18248.4998
2014-12-08	100	118.190002	6429.4996	18248.4998
2014-12-09	0	118.68	18297.4996	18297.4996
2014-12-10	0	115.639999	18297.4996	18297.4996
2014-12-11	-100	116.739998	29971.4994	18297.4996
2014-12-12	0	114.489998	18522.4996	18522.4996
2014-12-15	0	111.879997	18522.4996	18522.4996
2014-12-16	100	110.089996	7513.5	18522.4996
2014-12-17	0	112.82	18795.5	18795.5
2014-12-18	100	116.480003	7147.4997	18795.5
2014-12-19	0	117.18	18865.4997	18865.4997
2014-12-22	0	113.5	18865.4997	18865.4997
2014-12-23	0	106.120003	18865.4997	18865.4997
2014-12-24	0	109.599998	18865.4997	18865.4997
2014-12-26	100	113.349998	7530.4999	18865.4997
2014-12-29	100	114.470001	7530.4999	18977.5
2014-12-30	0	113.540001	18884.5	18884.5
2014-12-31	0	111.860001	18884.5	18884.5
2015-01-02	0	113.519997	18884.5	18884.5
2015-01-05	-100	111.93	30077.5	18884.5
2015-01-06	0	110.510002	19026.4998	19026.4998
2015-01-07	100	114.550003	7571.4995	19026.4998
2015-01-08	0	115.050003	19076.4998	19076.4998
2015-01-09	100	113.669998	7709.5	19076.4998
2015-01-12	0	117.0	19409.5	19409.5
2015-01-13	0	119.980003	19409.5	19409.5
2015-01-14	0	121.099998	19409.5	19409.5
2015-01-15	100	118.269997	7582.5003	19409.5
2015-01-16	100	121.809998	7582.5003	19763.5001
2015-01-20	100	123.25	7582.5003	19907.5003
2015-01-21	100	122.220001	7582.5003	19804.5004
2015-01-22	100	123.709999	7582.5003	19953.5002
2015-01-23	100	123.889999	7582.5003	19971.5002
2015-01-26	0	124.120003	19994.5006	19994.5006
2015-01-27	0	122.360001	19994.5006	19994.5006
2015-01-28	100	118.970001	8097.5005	19994.5006
2015-01-29	100	120.870003	8097.5005	20184.5008
2015-01-30	0	119.160004	20013.5009	20013.5009
2015-02-02	0	118.57	20013.5009	20013.5009
2015-02-03	-100	117.599998	31773.5007	20013.5009
2015-02-04	0	116.57	20116.5007	20116.5007
2015-02-05	-100	120.019997	32118.5004	20116.5007
2015-02-06	-100	118.75	32118.5004	20243.5004
2015-02-09	-100	118.120003	32118.5004	20306.5001
2015-02-10	-100	120.160004	32118.5004	20102.5
2015-02-11	-100	118.379997	32118.5004	20280.5007
2015-02-12	0	115.720001	20546.5003	20546.5003
2015-02-13	100	115.879997	8958.5006	20546.5003
2015-02-17	0	116.32	20590.5006	20590.5006
2015-02-18	100	118.410004	8749.5002	20590.5006
2015-02-19	100	120.209999	8749.5002	20770.5001
2015-02-20	100	123.43	8749.5002	21092.5002
2015-02-23	0	123.82	21131.5002	21131.5002
2015-02-24	0	123.18	21131.5002	21131.5002
2015-02-25	0	123.099998	21131.5002	21131.5002
2015-02-26	0	123.349998	21131.5002	21131.5002
